Symbol,Best_Strategy,Best_HTF_Period,SUPERTREND_Return,SUPERTREND_Equity,KAMA_Return,KAMA_Equity,JMA_Return,JMA_Equity,TREND_FOLLOW_Return,TREND_FOLLOW_Equity,SMA_Return,SMA_Equity,EMA_Return,EMA_Equity,SUPERTREND_HTF50_Return,SUPERTREND_HTF50_Equity,SUPERTREND_HTF100_Return,SUPERTREND_HTF100_Equity,SUPERTREND_HTF150_Return,SUPERTREND_HTF150_Equity,SUPERTREND_HTF200_Return,SUPERTREND_HTF200_Equity,SUPERTREND_HTF250_Return,SUPERTREND_HTF250_Equity,KAMA_HTF50_Return,KAMA_HTF50_Equity,KAMA_HTF100_Return,KAMA_HTF100_Equity,KAMA_HTF150_Return,KAMA_HTF150_Equity,KAMA_HTF200_Return,KAMA_HTF200_Equity,KAMA_HTF250_Return,KAMA_HTF250_Equity,JMA_HTF50_Return,JMA_HTF50_Equity,JMA_HTF100_Return,JMA_HTF100_Equity,JMA_HTF150_Return,JMA_HTF150_Equity,JMA_HTF200_Return,JMA_HTF200_Equity,JMA_HTF250_Return,JMA_HTF250_Equity,TREND_FOLLOW_HTF50_Return,TREND_FOLLOW_HTF50_Equity,TREND_FOLLOW_HTF100_Return,TREND_FOLLOW_HTF100_Equity,TREND_FOLLOW_HTF150_Return,TREND_FOLLOW_HTF150_Equity,TREND_FOLLOW_HTF200_Return,TREND_FOLLOW_HTF200_Equity,TREND_FOLLOW_HTF250_Return,TREND_FOLLOW_HTF250_Equity,SMA_HTF50_Return,SMA_HTF50_Equity,SMA_HTF100_Return,SMA_HTF100_Equity,SMA_HTF150_Return,SMA_HTF150_Equity,SMA_HTF200_Return,SMA_HTF200_Equity,SMA_HTF250_Return,SMA_HTF250_Equity,EMA_HTF50_Return,EMA_HTF50_Equity,EMA_HTF100_Return,EMA_HTF100_Equity,EMA_HTF150_Return,EMA_HTF150_Equity,EMA_HTF200_Return,EMA_HTF200_Equity,EMA_HTF250_Return,EMA_HTF250_Equity
CRWD,KAMA,0,40.723399999999984,14072.339999999998,43.05759999999999,14305.759999999998,0.0,10000,0.0,10000,13.318600000000004,11331.86,35.51070000000001,13551.07,39.77839999999999,13977.839999999998,24.022100000000002,12402.21,40.723399999999984,14072.339999999998,40.723399999999984,14072.339999999998,40.723399999999984,14072.339999999998,39.38589999999997,13938.589999999998,27.104199999999977,12710.419999999998,43.05759999999999,14305.759999999998,43.05759999999999,14305.759999999998,43.05759999999999,14305.759999999998,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,13.318600000000004,11331.86,13.318600000000004,11331.86,13.318600000000004,11331.86,13.318600000000004,11331.86,13.318600000000004,11331.86,35.51070000000001,13551.07,20.531200000000016,12053.12,35.51070000000001,13551.07,35.51070000000001,13551.07,35.51070000000001,13551.07
AMD,KAMA,0,85.83500000000004,18583.500000000004,158.44650000000007,25844.650000000005,0.0,10000,0.0,10000,28.930500000000016,12893.050000000001,99.16030000000002,19916.030000000002,85.00670000000005,18500.670000000006,85.83500000000004,18583.500000000004,85.83500000000004,18583.500000000004,85.83500000000004,18583.500000000004,85.83500000000004,18583.500000000004,140.2867,24028.670000000002,158.44650000000007,25844.650000000005,158.44650000000007,25844.650000000005,158.44650000000007,25844.650000000005,158.44650000000007,25844.650000000005,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,28.930500000000016,12893.050000000001,28.930500000000016,12893.050000000001,28.930500000000016,12893.050000000001,28.930500000000016,12893.050000000001,28.930500000000016,12893.050000000001,99.16030000000002,19916.030000000002,99.16030000000002,19916.030000000002,99.16030000000002,19916.030000000002,99.16030000000002,19916.030000000002,99.16030000000002,19916.030000000002
NVDA,KAMA,0,20.783399999999965,12078.339999999997,50.248000000000005,15024.800000000001,0.0,10000,0.0,10000,22.72829999999999,12272.83,46.74600000000002,14674.600000000002,39.803999999999974,13980.399999999998,20.783399999999965,12078.339999999997,20.783399999999965,12078.339999999997,20.783399999999965,12078.339999999997,20.783399999999965,12078.339999999997,45.49360000000002,14549.360000000002,50.248000000000005,15024.800000000001,50.248000000000005,15024.800000000001,50.248000000000005,15024.800000000001,50.248000000000005,15024.800000000001,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,19.352199999999975,11935.219999999998,22.72829999999999,12272.83,22.72829999999999,12272.83,22.72829999999999,12272.83,22.72829999999999,12272.83,42.71700000000003,14271.700000000003,46.74600000000002,14674.600000000002,46.74600000000002,14674.600000000002,46.74600000000002,14674.600000000002,46.74600000000002,14674.600000000002
VTI,KAMA,0,12.963300000000078,11296.330000000007,24.81580000000003,12481.580000000004,0.0,10000,0.0,10000,17.921599999999984,11792.159999999998,17.852599999999974,11785.259999999998,8.748599999999996,10874.86,12.963300000000078,11296.330000000007,12.963300000000078,11296.330000000007,12.963300000000078,11296.330000000007,12.963300000000078,11296.330000000007,20.015200000000032,12001.520000000002,24.81580000000003,12481.580000000004,24.81580000000003,12481.580000000004,24.81580000000003,12481.580000000004,24.81580000000003,12481.580000000004,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,17.921599999999984,11792.159999999998,17.921599999999984,11792.159999999998,17.921599999999984,11792.159999999998,17.921599999999984,11792.159999999998,17.921599999999984,11792.159999999998,17.852599999999974,11785.259999999998,17.852599999999974,11785.259999999998,17.852599999999974,11785.259999999998,17.852599999999974,11785.259999999998,17.852599999999974,11785.259999999998
QBTS,KAMA,0,244.40859999999995,34440.85999999999,328.5362,42853.62,0.0,10000,0.0,10000,27.555900000000012,12755.590000000002,181.70640000000003,28170.640000000003,98.84560000000002,19884.56,220.3737999999999,32037.37999999999,244.40859999999995,34440.85999999999,244.40859999999995,34440.85999999999,244.40859999999995,34440.85999999999,129.95140000000004,22995.140000000003,298.6622000000001,39866.22000000001,328.5362,42853.62,328.5362,42853.62,328.5362,42853.62,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,40.94060000000006,14094.060000000005,24.2529,12425.289999999999,27.555900000000012,12755.590000000002,27.555900000000012,12755.590000000002,27.555900000000012,12755.590000000002,82.23129999999996,18223.129999999997,181.70640000000003,28170.640000000003,181.70640000000003,28170.640000000003,181.70640000000003,28170.640000000003,181.70640000000003,28170.640000000003
SHOP,KAMA,0,4.848599999999981,10484.859999999999,64.24980000000001,16424.98,0.0,10000,0.0,10000,30.286099999999983,13028.609999999999,46.843900000000005,14684.39,-13.215900000000003,8678.41,4.848599999999981,10484.859999999999,4.848599999999981,10484.859999999999,4.848599999999981,10484.859999999999,4.848599999999981,10484.859999999999,50.97969999999998,15097.97,64.24980000000001,16424.98,64.24980000000001,16424.98,64.24980000000001,16424.98,64.24980000000001,16424.98,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,30.286099999999983,13028.609999999999,30.286099999999983,13028.609999999999,30.286099999999983,13028.609999999999,30.286099999999983,13028.609999999999,30.286099999999983,13028.609999999999,46.843900000000005,14684.39,46.843900000000005,14684.39,46.843900000000005,14684.39,46.843900000000005,14684.39,46.843900000000005,14684.39
BABA,KAMA,0,21.37090000000006,12137.090000000006,35.32260000000002,13532.260000000002,0.0,10000,0.0,10000,25.134100000000004,12513.41,21.182000000000034,12118.200000000003,2.982200000000046,10298.220000000005,8.659900000000032,10865.990000000003,21.37090000000006,12137.090000000006,21.37090000000006,12137.090000000006,21.37090000000006,12137.090000000006,18.389900000000026,11838.990000000002,24.55390000000004,12455.390000000003,35.32260000000002,13532.260000000002,35.32260000000002,13532.260000000002,35.32260000000002,13532.260000000002,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,25.312099999999994,12531.21,21.742700000000003,12174.27,25.134100000000004,12513.41,25.134100000000004,12513.41,25.134100000000004,12513.41,20.331800000000012,12033.180000000002,19.070000000000007,11907.000000000002,21.182000000000034,12118.200000000003,21.182000000000034,12118.200000000003,21.182000000000034,12118.200000000003
INOD,KAMA,0,52.2009,15220.09,63.50714999999998,16350.714999999998,0.0,10000,0.0,10000,-13.647699999999984,8635.230000000001,14.75464999999998,11475.464999999998,15.220100000000002,11522.01,52.2009,15220.09,52.2009,15220.09,52.2009,15220.09,52.2009,15220.09,35.22559999999997,13522.559999999998,39.77885000000001,13977.885,39.77885000000001,13977.885,63.50714999999998,16350.714999999998,63.50714999999998,16350.714999999998,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,13.979099999999999,11397.91,-13.637699999999986,8636.230000000001,-13.647699999999984,8635.230000000001,-13.647699999999984,8635.230000000001,-13.647699999999984,8635.230000000001,16.010899999999985,11601.089999999998,14.75464999999998,11475.464999999998,14.75464999999998,11475.464999999998,14.75464999999998,11475.464999999998,14.75464999999998,11475.464999999998
COIN,KAMA_HTF100,100,44.10930000000002,14410.930000000002,72.996,17299.6,0.0,10000,0.0,10000,30.457600000000017,13045.760000000002,16.325599999999984,11632.559999999998,43.39499999999998,14339.499999999998,53.28130000000002,15328.130000000001,53.28130000000002,15328.130000000001,53.28130000000002,15328.130000000001,44.10930000000002,14410.930000000002,81.37779999999995,18137.779999999995,100.2348,20023.48,100.2348,20023.48,100.2348,20023.48,72.996,17299.6,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,31.810000000000006,13181.0,26.12749999999999,12612.75,30.457600000000017,13045.760000000002,30.457600000000017,13045.760000000002,30.457600000000017,13045.760000000002,22.90599999999998,12290.599999999999,16.325599999999984,11632.559999999998,16.325599999999984,11632.559999999998,16.325599999999984,11632.559999999998,16.325599999999984,11632.559999999998
PANW,KAMA_HTF150,150,-3.486300000000009,9651.369999999999,-1.3783000000000212,9862.169999999998,0.0,10000,0.0,10000,-12.952900000000012,8704.71,0.4723000000000033,10047.23,-2.193600000000029,9780.639999999998,-2.739199999999997,9726.08,0.5373999999999768,10053.739999999998,-3.486300000000009,9651.369999999999,-3.486300000000009,9651.369999999999,-6.3352000000000075,9366.48,5.914099999999989,10591.41,7.760199999999995,10776.019999999999,1.1896999999999824,10118.97,-1.3783000000000212,9862.169999999998,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,-12.37830000000002,8762.169999999998,-12.37830000000002,8762.169999999998,-12.37830000000002,8762.169999999998,-12.37830000000002,8762.169999999998,-12.952900000000012,8704.71,0.4723000000000033,10047.23,0.4723000000000033,10047.23,0.4723000000000033,10047.23,0.4723000000000033,10047.23,0.4723000000000033,10047.23
SNOW,KAMA_HTF50,50,0.25210000000002175,10025.210000000003,15.312899999999985,11531.289999999999,0.0,10000,0.0,10000,17.304600000000004,11730.460000000001,11.438400000000026,11143.840000000002,3.4150000000000347,10341.500000000004,12.087900000000019,11208.790000000003,0.25210000000002175,10025.210000000003,0.25210000000002175,10025.210000000003,0.25210000000002175,10025.210000000003,28.908500000000004,12890.85,28.908500000000004,12890.85,15.312899999999985,11531.289999999999,15.312899999999985,11531.289999999999,15.312899999999985,11531.289999999999,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,12.71850000000001,11271.85,20.543400000000013,12054.340000000002,17.304600000000004,11730.460000000001,17.304600000000004,11730.460000000001,17.304600000000004,11730.460000000001,11.438400000000026,11143.840000000002,11.438400000000026,11143.840000000002,11.438400000000026,11143.840000000002,11.438400000000026,11143.840000000002,11.438400000000026,11143.840000000002
MA,KAMA_HTF50,50,2.717399999999981,10271.739999999998,-0.07790000000003072,9992.209999999997,0.0,10000,0.0,10000,-5.223099999999981,9477.690000000002,-6.1553000000000075,9384.47,-2.2070000000000256,9779.299999999997,-1.0466000000000308,9895.339999999997,-1.0466000000000308,9895.339999999997,0.408599999999959,10040.859999999995,2.717399999999981,10271.739999999998,3.7035999999999847,10370.359999999999,1.2265999999999888,10122.659999999998,1.2265999999999888,10122.659999999998,2.7673999999999754,10276.739999999998,-0.07790000000003072,9992.209999999997,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,-5.223099999999981,9477.690000000002,-5.223099999999981,9477.690000000002,-5.223099999999981,9477.690000000002,-5.223099999999981,9477.690000000002,-5.223099999999981,9477.690000000002,-6.1553000000000075,9384.47,-6.1553000000000075,9384.47,-6.1553000000000075,9384.47,-6.1553000000000075,9384.47,-6.1553000000000075,9384.47
RIVN,KAMA_HTF50,50,26.784300000000005,12678.43,18.847599999999986,11884.759999999998,0.0,10000,0.0,10000,-1.2410000000000254,9875.899999999998,4.302300000000003,10430.23,23.01359999999999,12301.359999999999,21.68269999999999,12168.269999999999,26.784300000000005,12678.43,26.784300000000005,12678.43,26.784300000000005,12678.43,43.35090000000002,14335.090000000002,14.33289999999998,11433.289999999999,18.847599999999986,11884.759999999998,18.847599999999986,11884.759999999998,18.847599999999986,11884.759999999998,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,2.395999999999976,10239.599999999999,2.1292999999999562,10212.929999999997,-1.2410000000000254,9875.899999999998,-1.2410000000000254,9875.899999999998,-1.2410000000000254,9875.899999999998,16.034400000000005,11603.44,7.50369999999998,10750.369999999997,4.302300000000003,10430.23,4.302300000000003,10430.23,4.302300000000003,10430.23
MRNA,KAMA_HTF50,50,-4.549999999999976,9545.000000000002,18.14929999999999,11814.929999999998,0.0,10000,0.0,10000,26.906000000000006,12690.6,6.633900000000015,10663.390000000001,11.110700000000007,11111.07,-8.089500000000005,9191.05,-10.548999999999998,8945.1,-4.549999999999976,9545.000000000002,-4.549999999999976,9545.000000000002,37.61709999999998,13761.709999999997,11.968399999999967,11196.839999999997,19.49669999999999,11949.669999999998,18.14929999999999,11814.929999999998,18.14929999999999,11814.929999999998,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,4.136699999999993,10413.67,9.051699999999997,10905.17,19.947600000000023,11994.760000000002,20.757500000000007,12075.75,26.906000000000006,12690.6,6.633900000000015,10663.390000000001,-4.2875,9571.25,6.633900000000015,10663.390000000001,6.633900000000015,10663.390000000001,6.633900000000015,10663.390000000001
GOOGL,SMA,0,59.26229999999999,15926.23,79.28500000000001,17928.5,0.0,10000,0.0,10000,98.46200000000005,19846.200000000004,83.18150000000001,18318.15,52.401299999999985,15240.13,59.26229999999999,15926.23,59.26229999999999,15926.23,59.26229999999999,15926.23,59.26229999999999,15926.23,77.33049999999994,17733.049999999996,79.28500000000001,17928.5,79.28500000000001,17928.5,79.28500000000001,17928.5,79.28500000000001,17928.5,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,98.46200000000005,19846.200000000004,98.46200000000005,19846.200000000004,98.46200000000005,19846.200000000004,98.46200000000005,19846.200000000004,98.46200000000005,19846.200000000004,83.18150000000001,18318.15,83.18150000000001,18318.15,83.18150000000001,18318.15,83.18150000000001,18318.15,83.18150000000001,18318.15
JPM,SMA,0,8.618599999999986,10861.859999999999,19.672999999999984,11967.299999999997,0.0,10000,0.0,10000,23.701500000000042,12370.150000000003,20.099500000000003,12009.95,3.5643000000000313,10356.430000000002,8.618599999999986,10861.859999999999,8.618599999999986,10861.859999999999,8.618599999999986,10861.859999999999,8.618599999999986,10861.859999999999,15.168000000000003,11516.800000000001,19.672999999999984,11967.299999999997,19.672999999999984,11967.299999999997,19.672999999999984,11967.299999999997,19.672999999999984,11967.299999999997,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,21.997200000000028,12199.720000000003,23.701500000000042,12370.150000000003,23.701500000000042,12370.150000000003,23.701500000000042,12370.150000000003,23.701500000000042,12370.150000000003,20.099500000000003,12009.95,20.099500000000003,12009.95,20.099500000000003,12009.95,20.099500000000003,12009.95,20.099500000000003,12009.95
